abstract,acl_url,anthology,anthology_id,arxiv_url,authors,month,title,venue,year
,http://aclweb.org/anthology/D17-1000,D17-1,D17-1000,,"('Martha Palmer', 'Rebecca Hwa', 'Sebastian Riedel')",9,"
      Proceedings of the 2017 Conference on Empirical Methods in Natural
      Language Processing
    ",EMNLP,2017
"In this paper, we propose a novel BTG-forest-based alignment method. Based on a fast unsupervised initialization of parameters using variational IBM models, we synchronously parse parallel sentences top-down and align hierarchically under the constraint of BTG. Our two-step method can achieve the same run-time and comparable translation performance as fast_align while it yields smaller phrase tables. Final SMT results show that our method even outperforms in the experiment of distantly related languages, e.g., English-Japanese.",http://aclweb.org/anthology/D17-1001,D17-1,D17-1001,https://arxiv.org/abs/1711.07265,"('Yuki Arase', ""Jun'ichi Tsujii"")",9,Monolingual Phrase Alignment on Parse Forests,EMNLP,2017
,http://aclweb.org/anthology/D17-1002,D17-1,D17-1002,,"('Tianze Shi', 'Liang Huang', 'Lillian Lee')",9,"
      Fast(er) Exact Decoding and Global Training for Transition-Based
      Dependency Parsing via a Minimal Feature Set
    ",EMNLP,2017
"We propose a framework for parsing video and text jointly for understanding events and answering user queries. Our framework produces a parse graph that represents the compositional structures of spatial information (objects and scenes), temporal information (actions and events) and causal information (causalities between events and fluents) in the video and text. The knowledge representation of our framework is based on a spatial-temporal-causal And-Or graph (S/T/C-AOG), which jointly models possible hierarchical compositions of objects, scenes and events as well as their interactions and mutual contexts, and specifies the prior probabilistic distribution of the parse graphs. We present a probabilistic generative model for joint parsing that captures the relations between the input video/text, their corresponding parse graphs and the joint parse graph. Based on the probabilistic model, we propose a joint parsing system consisting of three modules: video parsing, text parsing and joint inference. Video parsing and text parsing produce two parse graphs from the input video and text respectively. The joint inference module produces a joint parse graph by performing matching, deduction and revision on the video and text parse graphs. The proposed framework has the following objectives: Firstly, we aim at deep semantic parsing of video and text that goes beyond the traditional bag-of-words approaches; Secondly, we perform parsing and reasoning across the spatial, temporal and causal dimensions based on the joint S/T/C-AOG representation; Thirdly, we show that deep joint parsing facilitates subsequent applications such as generating narrative text descriptions and answering queries in the forms of who, what, when, where and why. We empirically evaluated our system based on comparison against ground-truth as well as accuracy of query answering and obtained satisfactory results.",http://aclweb.org/anthology/D17-1003,D17-1,D17-1003,https://arxiv.org/abs/1308.6628,"('Junjie Cao', 'Sheng Huang', 'Weiwei Sun', 'Xiaojun Wan')",9,"Quasi-Second-Order Parsing for 1-Endpoint-Crossing, Pagenumber-2 Graphs",EMNLP,2017
"Spoken Language Systems at Saarland University (LSV) participated this year with 5 runs at the TAC KBP English slot filling track. Effective algorithms for all parts of the pipeline, from document retrieval to relation prediction and response post-processing, are bundled in a modular end-to-end relation extraction system called RelationFactory. The main run solely focuses on shallow techniques and achieved significant improvements over LSV's last year's system, while using the same training data and patterns. Improvements mainly have been obtained by a feature representation focusing on surface skip n-grams and improved scoring for extracted distant supervision patterns. Important factors for effective extraction are the training and tuning scheme for distant supervision classifiers, and the query expansion by a translation model based on Wikipedia links. In the TAC KBP 2013 English Slotfilling evaluation, the submitted main run of the LSV RelationFactory system achieved the top-ranked F1-score of 37.3%.",http://aclweb.org/anthology/D17-1004,D17-1,D17-1004,https://arxiv.org/abs/1401.1158,"('Yuhao Zhang', 'Victor Zhong', 'Danqi Chen', 'Gabor Angeli', 'Christopher D. Manning')",9,Position-aware Attention and Supervised Data Improve Slot Filling,EMNLP,2017
,http://aclweb.org/anthology/D17-1005,D17-1,D17-1005,,"('Liyuan Liu', 'Xiang Ren', 'Qi Zhu', 'Shi Zhi', 'Huan Gui', 'Heng Ji', 'Jiawei Han')",9,"
      Heterogeneous Supervision for Relation Extraction: A Representation
      Learning Approach
    ",EMNLP,2017
"Script knowledge plays a central role in text understanding and is relevant for a variety of downstream tasks. In this paper, we consider two recent datasets which provide a rich and general representation of script events in terms of paraphrase sets. We introduce the task of mapping event mentions in narrative texts to such script event types, and present a model for this task that exploits rich linguistic representations as well as information on temporal ordering. The results of our experiments demonstrate that this complex task is indeed feasible.",http://aclweb.org/anthology/D17-1006,D17-1,D17-1006,https://arxiv.org/abs/1710.05709,"('Zhongqing Wang', 'Yue Zhang', 'Ching-Yun Chang')",9,Integrating Order Information and Event Relation for Script Event Prediction,EMNLP,2017
"We present a simple yet effective approach for linking entities in queries. The key idea is to search sentences similar to a query from Wikipedia articles and directly use the human-annotated entities in the similar sentences as candidate entities for the query. Then, we employ a rich set of features, such as link-probability, context-matching, word embeddings, and relatedness among candidate entities as well as their related entities, to rank the candidates under a regression based framework. The advantages of our approach lie in two aspects, which contribute to the ranking process and final linking result. First, it can greatly reduce the number of candidate entities by filtering out irrelevant entities with the words in the query. Second, we can obtain the query sensitive prior probability in addition to the static link-probability derived from all Wikipedia articles. We conduct experiments on two benchmark datasets on entity linking for queries, namely the ERD14 dataset and the GERDAQ dataset. Experimental results show that our method outperforms state-of-the-art systems and yields 75.0% in F1 on the ERD14 dataset and 56.9% on the GERDAQ dataset.",http://aclweb.org/anthology/D17-1007,D17-1,D17-1007,https://arxiv.org/abs/1704.02788,"('Chuanqi Tan', 'Furu Wei', 'Pengjie Ren', 'Weifeng Lv', 'Ming Zhou')",9,Entity Linking for Queries by Searching Wikipedia Sentences,EMNLP,2017
,http://aclweb.org/anthology/D17-1008,D17-1,D17-1008,,"('Tommaso Pasini', 'Roberto Navigli')",9,"
      Train-O-Matic: Large-Scale Supervised Word Sense Disambiguation in
      Multiple Languages without Manual Training Data
    ",EMNLP,2017
"The ability to consolidate information of different types is at the core of intelligence, and has tremendous practical value in allowing learning for one task to benefit from generalizations learned for others. In this paper we tackle the challenging task of improving semantic parsing performance, taking UCCA parsing as a test case, and AMR, SDP and Universal Dependencies (UD) parsing as auxiliary tasks. We experiment on three languages, using a uniform transition-based system and learning architecture for all parsing tasks. Despite notable conceptual, formal and domain differences, we show that multitask learning significantly improves UCCA parsing in both in-domain and out-of-domain settings.",http://aclweb.org/anthology/D17-1009,D17-1,D17-1009,https://arxiv.org/abs/1805.00287,"('Siva Reddy', 'Oscar Täckström', 'Slav Petrov', 'Mark Steedman', 'Mirella Lapata')",9,Universal Semantic Parsing,EMNLP,2017
"Word embeddings improve generalization over lexical features by placing each word in a lower-dimensional space, using distributional information obtained from unlabeled data. However, the effectiveness of word embeddings for downstream NLP tasks is limited by out-of-vocabulary (OOV) words, for which embeddings do not exist. In this paper, we present MIMICK, an approach to generating OOV word embeddings compositionally, by learning a function from spellings to distributional embeddings. Unlike prior work, MIMICK does not require re-training on the original word embedding corpus; instead, learning is performed at the type level. Intrinsic and extrinsic evaluations demonstrate the power of this simple approach. On 23 languages, MIMICK improves performance over a word-based baseline for tagging part-of-speech and morphosyntactic attributes. It is competitive with (and complementary to) a supervised character-based model in low-resource settings.",http://aclweb.org/anthology/D17-1010,D17-1,D17-1010,https://arxiv.org/abs/1707.06961,"('Yuval Pinter', 'Robert Guthrie', 'Jacob Eisenstein')",9,Mimicking Word Embeddings using Subword RNNs,EMNLP,2017
,http://aclweb.org/anthology/D17-1011,D17-1,D17-1011,,"('Ehsaneddin Asgari', 'Hinrich Schütze')",9,"
      Past, Present, Future: A Computational Investigation of the Typology of
      Tense in 1000 Languages
    ",EMNLP,2017
"This paper presents a novel neural machine translation model which jointly learns translation and source-side latent graph representations of sentences. Unlike existing pipelined approaches using syntactic parsers, our end-to-end model learns a latent graph parser as part of the encoder of an attention-based neural machine translation model, and thus the parser is optimized according to the translation objective. In experiments, we first show that our model compares favorably with state-of-the-art sequential and pipelined syntax-based NMT models. We also show that the performance of our model can be further improved by pre-training it with a small amount of treebank annotations. Our final ensemble model significantly outperforms the previous best models on the standard English-to-Japanese translation dataset.",http://aclweb.org/anthology/D17-1012,D17-1,D17-1012,https://arxiv.org/abs/1702.02265,"('Kazuma Hashimoto', 'Yoshimasa Tsuruoka')",9,Neural Machine Translation with Source-Side Latent Graph Parsing,EMNLP,2017
"Neural Machine Translation has achieved state-of-the-art performance for several language pairs using a combination of parallel and synthetic data. Synthetic data is often generated by back-translating sentences randomly sampled from monolingual data using a reverse translation model. While back-translation has been shown to be very effective in many cases, it is not entirely clear why. In this work, we explore different aspects of back-translation, and show that words with high prediction loss during training benefit most from the addition of synthetic data. We introduce several variations of sampling strategies targeting difficult-to-predict words using prediction losses and frequencies of words. In addition, we also target the contexts of difficult words and sample sentences that are similar in context. Experimental results for the WMT news translation task show that our method improves translation quality by up to 1.7 and 1.2 Bleu points over back-translation using random sampling for German-English and English-German, respectively.",http://aclweb.org/anthology/D17-1013,D17-1,D17-1013,https://arxiv.org/abs/1808.09006,"('Rongxiang Weng', 'Shujian Huang', 'Zaixiang Zheng', 'XIN-YU DAI', 'Jiajun CHEN')",9,Neural Machine Translation with Word Predictions,EMNLP,2017
"We propose a novel decoding approach for neural machine translation (NMT) based on continuous optimisation. We convert decoding - basically a discrete optimization problem - into a continuous optimization problem. The resulting constrained continuous optimisation problem is then tackled using gradient-based methods. Our powerful decoding framework enables decoding intractable models such as the intersection of left-to-right and right-to-left (bidirectional) as well as source-to-target and target-to-source (bilingual) NMT models. Our empirical results show that our decoding framework is effective, and leads to substantial improvements in translations generated from the intersected models where the typical greedy or beam search is not feasible. We also compare our framework against reranking, and analyse its advantages and disadvantages.",http://aclweb.org/anthology/D17-1014,D17-1,D17-1014,https://arxiv.org/abs/1701.02854,"('Cong Duy Vu Hoang', 'Gholamreza Haffari', 'Trevor Cohn')",9,Towards Decoding as Continuous Optimisation in Neural Machine Translation,EMNLP,2017
